OTU	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	CS4	CS5	CS6	M10	M11	M12	M13	P1	P12	P2	P3	P4
bc28752edd2b75e9881b44efc28d25a5	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	NA	0	0	0.00123030739230197	0.00406920358903757	0.00150781803651935	0.00279696808659413	0	0	0.0103205260519565	0.667612280247132	0	0.951109862320877
4efbde0a053c98b8effc421da055f772	d__Bacteria	p__Campilobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	NA	0.16081830982027	0.0962888956460044	0.487201727351579	2.70195118312094	0.243512612897875	1.08732134366347	0.446483668861576	0.681851831648835	0.775513814761301	45.9227233671117	0.229995721009842	0.0737566732228154
89837881f8daffff3808d2c6c4069abd	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	NA	26.7055023329008	1.6151919262123	3.59987942987555	11.3510434116203	4.24450777280198	4.04161888512852	4.80459987077383	1.50708736275297	1.19349511986554	0.0184121875042621	4.62054526560303	1.18572632762012
10866c3feb6b4bc7f821009f8f556133	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	NA	0.0034510366914221	0	0.0036909221769059	0	0	0	0.0137938044038536	0	0	0.0770584143696895	0.00764105385414756	0.441837594830008
92c67910a7ca55d61879b870a00c8bea	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	NA	NA	2.34463432815218	3.89571840203872	11.4830740460504	6.19129326072066	17.6384553912034	10.5075098593125	8.2363532085115	21.5956112119819	14.6883201132309	2.63226088023895	5.80261629683966	9.00393368923855
4711b6a304ab8ec6c42abe83df1feacb	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Actinomarinales	f__uncultured	g__uncultured	NA	7.2126666850722	13.4203553277442	13.87725223147	7.97903003750449	7.75847770691033	6.76516655944956	5.66126772322368	6.21147537151184	3.23843363901749	1.36250187531539	7.65557185647044	9.81455465018264
0ce2ce20c5dfd13ca88d8e40a2292ff2	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Woeseiaceae	g__Woeseia	NA	7.14709698793517	15.4105671633147	8.85636776348571	7.35372908598905	6.12023341023205	11.8311750062932	5.18356649702707	4.45814209012912	2.1149706602188	1.85349354209572	12.1232960449905	15.2493677999438
8d15010a44c89ea22e0ae9c4e3102ef8	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Enhydrobacter	NA	0	0.00217192997697754	0	0	0	0	0	0	0	0.0722848842759919	0	0.0435515594268053
d5f609588adefea8df1ced82f3a8ebad	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Sulfitobacter	NA	0.0904171613152591	0.195473697927979	0.55056255805513	0.503224843844312	2.55122811779075	0.718121556233043	0.425429967403062	2.86611547063362	0.299295255506738	0.0184121875042621	0.514242924384131	0.206518685023883
2ca4f9b5d01435d7dfef523f384b3a50	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Defluviimonas	NA	0.124237320891196	0.166514631568278	0.621920386808644	0.210242185433608	1.5741620301262	1.00061533297905	0.367350790965784	2.85364732285489	0.447468522395541	0.13434077549406	0.51729934592579	0.267631357122787
